seller_username,name,description,scores
a202300620057,a202300620057的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202300620066,拼多少食品铺子,为顾客提供物美价廉的优质食品，给人家的温馨。,"[{""round"": 1, ""score"": 2.2}, {""round"": 2, ""score"": 1.6666666666666667}, {""round"": 3, ""score"": -3.0}, {""round"": 4, ""score"": 20.0}, {""round"": 5, ""score"": 10.0}, {""round"": 6, ""score"": 48.0}, {""round"": 7, ""score"": 36.0}, {""round"": 8, ""score"": 31.0}, {""round"": 9, ""score"": 31.0}]"
a202300620157,冰爽洁净家居馆,冰冰+洗洗，远离热带气候的烦恼，还你干爽生活,"[{""round"": 1, ""score"": 0.6047619047619047}, {""round"": 2, ""score"": 0.625}, {""round"": 3, ""score"": -10.666666666666666}, {""round"": 4, ""score"": -10.5}, {""round"": 5, ""score"": -15.0}, {""round"": 6, ""score"": 9.0}, {""round"": 7, ""score"": 21.0}, {""round"": 8, ""score"": -4.0}, {""round"": 9, ""score"": 48.0}]"
a202300620182,a202300620182的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202300620219,a202300620219的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202300620417,泰式生活优选馆,专注泰国本土生活好物，精选驱蚊、防晒、家居收纳、数码配件与萌宠用品。实用平价、颜值与品质兼顾，一站式满足日常所需，打造舒适清爽的泰式居家体验。你想要的这里都有，选择我们吧！,"[{""round"": 1, ""score"": 0.4380952380952381}, {""round"": 2, ""score"": 1.5}, {""round"": 3, ""score"": -19.0}, {""round"": 4, ""score"": -14.0}, {""round"": 5, ""score"": -19.0}, {""round"": 6, ""score"": -24.0}, {""round"": 7, ""score"": -1.0}, {""round"": 8, ""score"": -10.0}, {""round"": 9, ""score"": -13.333333333333334}]"
a202300630016,a202300630016的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202300630050,百货市场,各种商品应有尽有,"[{""round"": 1, ""score"": 0.5214285714285715}, {""round"": 2, ""score"": 1.2}, {""round"": 3, ""score"": -14.0}, {""round"": 4, ""score"": -9.0}, {""round"": 5, ""score"": -10.0}, {""round"": 6, ""score"": -15.0}, {""round"": 7, ""score"": -10.0}, {""round"": 8, ""score"": 2.0}, {""round"": 9, ""score"": 6.0}]"
a202300630078,a202300630078的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202300630097,a202300630097的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202300630114,a202300630114的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202300630126,居家好物,实用,"[{""round"": 1, ""score"": 0.5476190476190476}, {""round"": 2, ""score"": 0.6583333333333333}, {""round"": 3, ""score"": 3.0}, {""round"": 4, ""score"": -1.0}, {""round"": 5, ""score"": 6.0}, {""round"": 6, ""score"": 5.5}, {""round"": 7, ""score"": 16.0}, {""round"": 8, ""score"": 12.2}, {""round"": 9, ""score"": 21.0}]"
a202300630127,a202300630127的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202300630129,a202300630129的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202300630133,a202300630133的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202300630171,不亏就是赚的商店,"让你赚一点，
让我赚亿点","[{""round"": 1, ""score"": 0.738095238095238}, {""round"": 2, ""score"": 2.0}, {""round"": 3, ""score"": -6.0}, {""round"": 4, ""score"": -15.0}, {""round"": 5, ""score"": -10.0}, {""round"": 6, ""score"": 1.0}, {""round"": 7, ""score"": 4.0}, {""round"": 8, ""score"": 13.0}, {""round"": 9, ""score"": 41.0}]"
a202300630193,a202300630193的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202300630200,Beauty Buy,"让生活和自己美美哒！主打经济实惠，你想要的我这里都有，快来选购吧！
","[{""round"": 1, ""score"": 0.7142857142857143}, {""round"": 2, ""score"": 1.3333333333333333}, {""round"": 3, ""score"": -9.0}, {""round"": 4, ""score"": -10.5}, {""round"": 5, ""score"": -10.0}, {""round"": 6, ""score"": -0.3333333333333333}, {""round"": 7, ""score"": -6.0}, {""round"": 8, ""score"": 10.7}, {""round"": 9, ""score"": 7.0}]"
a202300630209,rockyrocky的店铺,选择喜欢的合适的带回家,"[{""round"": 1, ""score"": 1.8333333333333333}, {""round"": 2, ""score"": 0.9}, {""round"": 3, ""score"": -15.0}, {""round"": 4, ""score"": -14.0}, {""round"": 5, ""score"": -4.333333333333333}, {""round"": 6, ""score"": 3.6666666666666665}, {""round"": 7, ""score"": 7.5}, {""round"": 8, ""score"": 2.3}, {""round"": 9, ""score"": 7.666666666666667}]"
a202300630222,a202300630222的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202300700018,a202300700018的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202300800004,女生精致小店,爱自己，你值得,"[{""round"": 1, ""score"": 1.5}, {""round"": 2, ""score"": 0.95}, {""round"": 3, ""score"": -14.0}, {""round"": 4, ""score"": -10.0}, {""round"": 5, ""score"": 19.0}, {""round"": 6, ""score"": 22.0}, {""round"": 7, ""score"": 18.5}, {""round"": 8, ""score"": 18.5}, {""round"": 9, ""score"": 15.0}]"
a202300800022,小马利亚,"小马最爱
","[{""round"": 1, ""score"": 0.9047619047619048}, {""round"": 2, ""score"": 0.5928571428571429}, {""round"": 3, ""score"": 13.0}, {""round"": 4, ""score"": 17.0}, {""round"": 5, ""score"": 17.0}, {""round"": 6, ""score"": 34.666666666666664}, {""round"": 7, ""score"": 36.0}, {""round"": 8, ""score"": 13.0}, {""round"": 9, ""score"": 11.0}]"
a202300800132,a202300800132的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202300800181,a202300800181的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202400620053,a202400620053的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202400620072,ShopEasy TH,哈喽，欢迎大家来到ShopEasy TH泰国店，我们为大家提供了优质产品，覆盖全面、快速发货、保证品质、耐心服务是我们的承诺，请放心购物吧！！,"[{""round"": 1, ""score"": 2.2}, {""round"": 2, ""score"": 1.0833333333333333}, {""round"": 3, ""score"": -3.0}, {""round"": 4, ""score"": 1.0}, {""round"": 5, ""score"": 25.0}, {""round"": 6, ""score"": 41.0}, {""round"": 7, ""score"": 45.0}, {""round"": 8, ""score"": 36.0}, {""round"": 9, ""score"": 22.0}]"
a202400620158,泰式风情,专为泰国气候打造的一家小店 平价实惠，选品考究,"[{""round"": 1, ""score"": 1.4583333333333333}, {""round"": 2, ""score"": 0.5333333333333333}, {""round"": 3, ""score"": -24.0}, {""round"": 4, ""score"": -19.0}, {""round"": 5, ""score"": -12.0}, {""round"": 6, ""score"": -15.0}, {""round"": 7, ""score"": -10.0}, {""round"": 8, ""score"": -14.0}, {""round"": 9, ""score"": 17.0}]"
a202400620243,小饼干,accept all cookies,"[{""round"": 1, ""score"": 1.375}, {""round"": 2, ""score"": 0.75}, {""round"": 3, ""score"": -14.0}, {""round"": 4, ""score"": -14.0}, {""round"": 5, ""score"": -10.0}, {""round"": 6, ""score"": -10.0}, {""round"": 7, ""score"": -19.0}, {""round"": 8, ""score"": -24.0}, {""round"": 9, ""score"": -14.0}]"
a202400620244,a202400620244的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202400620247,本舍日化商店,宾至如归，回归生活本真，安心又耐用。,"[{""round"": 1, ""score"": 1.4583333333333333}, {""round"": 2, ""score"": 2.25}, {""round"": 3, ""score"": -9.0}, {""round"": 4, ""score"": -15.0}, {""round"": 5, ""score"": -15.0}, {""round"": 6, ""score"": -10.0}, {""round"": 7, ""score"": -1.0}, {""round"": 8, ""score"": -10.0}, {""round"": 9, ""score"": 4.666666666666667}]"
a202400620304,a202400620304的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202400620383,a202400620383的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202400630023,yoyo美妆小店,这是你的商店描述,"[{""round"": 1, ""score"": 1.0}, {""round"": 2, ""score"": 0.7833333333333333}, {""round"": 3, ""score"": -14.0}, {""round"": 4, ""score"": -1.0}, {""round"": 5, ""score"": 18.0}, {""round"": 6, ""score"": 48.0}, {""round"": 7, ""score"": 35.0}, {""round"": 8, ""score"": 40.0}, {""round"": 9, ""score"": 23.666666666666668}]"
a202400630027,a202400630027的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202400630029,a202400630029的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202400630081,破烂小店,尽善尽美,"[{""round"": 1, ""score"": 0.6}, {""round"": 2, ""score"": 1.0333333333333334}, {""round"": 3, ""score"": 22.0}, {""round"": 4, ""score"": 9.0}, {""round"": 5, ""score"": 16.5}, {""round"": 6, ""score"": 6.0}, {""round"": 7, ""score"": -6.0}, {""round"": 8, ""score"": 0.6}, {""round"": 9, ""score"": 2.5}]"
a202400630209,a202400630209的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202400640003,Khwam Samphan,泰国年轻人的一站式潮流买手店。应有尽有！搜罗全网最火的时尚单品和生活神器。价格亲民、正品保真。24小时贴心服务，在这里，点亮你的每一天！,"[{""round"": 1, ""score"": 0.4880952380952381}, {""round"": 2, ""score"": 1.7}, {""round"": 3, ""score"": -5.0}, {""round"": 4, ""score"": -1.0}, {""round"": 5, ""score"": 1.0}, {""round"": 6, ""score"": 6.0}, {""round"": 7, ""score"": -10.0}, {""round"": 8, ""score"": -15.0}, {""round"": 9, ""score"": 6.0}]"
a202400800089,a202400800089的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202400800125,a202400800125的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202400800501,雅诗红黛,这是你的商店描述,"[{""round"": 1, ""score"": 0.5409090909090909}, {""round"": 2, ""score"": 1.125}, {""round"": 3, ""score"": 3.0}, {""round"": 4, ""score"": 1.3333333333333333}, {""round"": 5, ""score"": 0.666666666666667}, {""round"": 6, ""score"": -7.0}, {""round"": 7, ""score"": -6.0}, {""round"": 8, ""score"": 2.6}, {""round"": 9, ""score"": 4.666666666666667}]"
a202400810181,衣妆小筑,快来看看有没有你需要的吧,"[{""round"": 1, ""score"": 0.5095238095238095}, {""round"": 2, ""score"": 0.8428571428571429}, {""round"": 3, ""score"": -14.0}, {""round"": 4, ""score"": -14.0}, {""round"": 5, ""score"": -10.0}, {""round"": 6, ""score"": -19.0}, {""round"": 7, ""score"": -19.0}, {""round"": 8, ""score"": -24.0}, {""round"": 9, ""score"": 1.0}]"
a202400820051,a202400820051的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202500620027,a202500620027的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202500620044,a202500620044的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202500620079,清禾里,实用好物，杂货小店,"[{""round"": 1, ""score"": 0.2}, {""round"": 2, ""score"": 1.3666666666666667}, {""round"": 3, ""score"": 13.666666666666666}, {""round"": 4, ""score"": 22.0}, {""round"": 5, ""score"": 11.0}, {""round"": 6, ""score"": 19.0}, {""round"": 7, ""score"": 3.0}, {""round"": 8, ""score"": 2.5}, {""round"": 9, ""score"": 13.0}]"
a202500620164,优胜百货,该店铺出售优质产品，售后有保障，产品丰富，货物性价比高。,"[{""round"": 1, ""score"": 1.5833333333333333}, {""round"": 2, ""score"": 1.0}, {""round"": 3, ""score"": -9.0}, {""round"": 4, ""score"": 25.333333333333332}, {""round"": 5, ""score"": 11.0}, {""round"": 6, ""score"": 6.0}, {""round"": 7, ""score"": 8.666666666666666}, {""round"": 8, ""score"": 9.2}, {""round"": 9, ""score"": 18.0}]"
a202500620226,崴陈俊南的商店,个性.自由.轻松.随意，满足您的一切需求！！,"[{""round"": 1, ""score"": 0.7}, {""round"": 2, ""score"": 0.49166666666666664}, {""round"": 3, ""score"": 29.0}, {""round"": 4, ""score"": 16.0}, {""round"": 5, ""score"": 16.0}, {""round"": 6, ""score"": 11.666666666666668}, {""round"": 7, ""score"": 5.0}, {""round"": 8, ""score"": 22.0}, {""round"": 9, ""score"": 32.666666666666664}]"
a202500620254,a202500620254的商店,这是你的商店描述,"[{""round"": 1, ""score"": 0.0}, {""round"": 2, ""score"": 0.0}, {""round"": 3, ""score"": 0.0}, {""round"": 4, ""score"": 0.0}, {""round"": 5, ""score"": 0.0}, {""round"": 6, ""score"": 0.0}, {""round"": 7, ""score"": 0.0}, {""round"": 8, ""score"": 0.0}, {""round"": 9, ""score"": 0.0}]"
a202500620273,10.7的生活小店,日用品,"[{""round"": 1, ""score"": 0.5714285714285714}, {""round"": 2, ""score"": 0.7833333333333333}, {""round"": 3, ""score"": 2.0}, {""round"": 4, ""score"": 13.0}, {""round"": 5, ""score"": 21.5}, {""round"": 6, ""score"": 25.0}, {""round"": 7, ""score"": 32.0}, {""round"": 8, ""score"": 19.6}, {""round"": 9, ""score"": -2.0}]"
a202500620315,家居好物小铺,专注于家居好物，用心服务，提升舒适,"[{""round"": 1, ""score"": 1.1428571428571428}, {""round"": 2, ""score"": 0.49166666666666664}, {""round"": 3, ""score"": -4.333333333333333}, {""round"": 4, ""score"": -10.5}, {""round"": 5, ""score"": 19.0}, {""round"": 6, ""score"": 29.0}, {""round"": 7, ""score"": 34.666666666666664}, {""round"": 8, ""score"": 23.6}, {""round"": 9, ""score"": 29.0}]"
